Tahun,Medium,Premium
2020,8958.728205128205,10198.394886363636
2021,8561.562130177515,9984.17924528302
2022,8853.807692307691,10289.926380368099
2023,10832.405882352941,11991.229299363058
2024,12419.538940809969,13679.42105263158
2025,12347.44827586207,13617.324873096448
